Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE,Out-of-sample Accuracy
200,sigmoid,11,Adam,Xavier,0,0.0606544055044651,2592.0799778397763,0.7894736842105263
100,sigmoid,8,Adam,Xavier,0,0.07999894767999649,2595.6061231607755,0.8105263157894737
100,sigmoid,5,SGD,Xavier,0.001,0.10306946188211441,2623.437112323983,0.7368421052631579
100,relu,11,Adam,Xavier,0.0001,0.04764305427670479,2634.8859482249322,0.7052631578947368
200,relu,5,SGD,small_random,0.0001,0.1048876941204071,2637.0728278603233,0.7473684210526316
200,tanh,5,SGD,small_random,0,0.11846098303794861,2639.261376467537,0.7263157894736842
100,tanh,5,Adam,Xavier,0.001,0.06413702666759491,2647.5267338995604,0.7052631578947368
300,relu,8,Adam,Xavier,0,0.04819739609956741,2679.4614432900994,0.6947368421052632
200,tanh,11,SGD,Xavier,0.0001,0.0637245923280716,2705.292525002735,0.7578947368421053
200,tanh,11,Momentum,Xavier,0.0001,0.045013584196567535,2706.5552646108217,0.7894736842105263
100,tanh,8,Momentum,Xavier,0.0001,0.05212240666151047,2719.581006539005,0.8105263157894737
200,relu,5,Adam,Xavier,0.001,0.04116823524236679,2721.576781902454,0.7157894736842105
100,sigmoid,8,Momentum,Xavier,0.001,0.05944987013936043,2725.257150409372,0.7368421052631579
300,tanh,11,Adam,Xavier,0,0.04165041819214821,2727.238945597516,0.7894736842105263
300,sigmoid,8,SGD,small_random,0.001,0.08513614535331726,2728.007628531843,0.7052631578947368
200,sigmoid,5,Momentum,Xavier,0.0001,0.06334877759218216,2728.2163967686506,0.7578947368421053
200,tanh,8,Adam,Xavier,0.0001,0.04399016872048378,2729.2417796430523,0.7578947368421053
100,sigmoid,11,Adam,small_random,0,0.061504852026700974,2729.772104311368,0.7368421052631579
200,sigmoid,5,Adam,small_random,0.001,0.09184639900922775,2753.8458682576156,0.7368421052631579
300,sigmoid,8,Adam,Xavier,0,0.05214405432343483,2760.8450110345293,0.7368421052631579
100,sigmoid,11,SGD,Xavier,0.001,0.09028208255767822,2762.3209517503747,0.7789473684210526
200,relu,8,Momentum,small_random,0.001,0.06165727972984314,2770.2807401310442,0.7578947368421053
300,relu,8,SGD,Xavier,0.0001,0.0631110742688179,2771.3333792109916,0.7157894736842105
200,tanh,5,Momentum,small_random,0.001,0.05904959514737129,2780.550639872978,0.8105263157894737
200,sigmoid,8,SGD,small_random,0,0.08408337086439133,2788.3022448939896,0.7684210526315789
100,tanh,11,Momentum,small_random,0.001,0.06378623098134995,2792.064265584548,0.7157894736842105
